date,true_mag,true_dir,pred_online_mag,pred_online_dir,pred_lstm_mag,correct_online_dir,rolling_acc_online
2023-04-26,0.002047869200779484,1,0.0021431227316676305,1,0.0013555842451751232,1,0.92
2023-04-27,0.0020012745686492917,1,0.0021550010525746744,1,0.0010156455682590604,1,0.92
2023-04-28,0.0019483343212423065,1,0.0019918382788987206,1,0.0008905320428311825,1,0.92
2023-05-01,0.0024053985323408966,1,0.0019151756707763627,1,0.0010119311045855284,1,0.92
2023-05-02,0.0024197432933679153,1,0.0020633666005015544,1,0.0010802196338772774,1,0.92
2023-05-03,0.0030730726674088604,1,0.00215194730710881,1,0.0009699687361717224,1,0.92
2023-05-04,0.002585897815762239,1,0.0024590741207633515,1,0.0008793666493147612,1,0.92
2023-05-05,0.0023591807029228473,1,0.002433018827236579,1,0.0006506465142592788,1,0.92
2023-05-08,0.0023611618733740958,1,0.0023177019728331592,1,0.00036281635402701795,1,0.92
2023-05-09,0.0019741636156795916,1,0.0023698847641066612,1,0.00033560083829797804,1,0.92
2023-05-10,0.0003441578523122324,1,0.0021717745857186767,1,0.00039590225787833333,1,0.92
2023-05-11,-7.792909560322414e-06,0,0.0015780632469353378,1,0.0004408386303111911,0,0.9
2023-05-12,0.0001675536421414936,1,0.0011287285208112707,0,0.0003249744768254459,0,0.88
2023-05-15,-0.00034346115440997416,0,0.0009719534980875419,1,0.00032346078660339117,0,0.86
2023-05-16,-0.0003134235827589871,0,0.0005569427903054681,0,0.00032357146847061813,1,0.86
2023-05-17,-0.0006372717431634145,0,0.00030708819380873134,0,0.0003262582467868924,1,0.86
2023-05-18,-6.595616929283565e-05,0,5.7096550618783556e-05,0,0.00032698162249289453,1,0.86
2023-05-19,-0.0003301229479578671,0,8.090968811052138e-05,0,0.00032970166648738086,1,0.86
2023-05-22,-0.00063302098261242,0,2.759984912659852e-05,0,0.000330381648382172,1,0.86
2023-05-23,-0.001080358509486734,0,-0.00020666424996590197,0,0.00032987628947012126,1,0.88
2023-05-24,-0.0014759811466777961,0,-0.00039505133795521524,0,0.00032922421814873815,1,0.9
2023-05-25,-0.0008405018404163966,0,-0.0007498136710595222,0,0.0003282223187852651,1,0.9
2023-05-26,-0.00096501787234482,0,-0.000654040304624717,0,0.00032955242204479873,1,0.92
2023-05-30,-0.00048024496771148506,0,-0.0007311641026114205,0,0.000330376933561638,1,0.94
2023-05-31,5.825583986407423e-05,1,-0.0006807648037048968,0,0.00033218032331205904,0,0.92
2023-06-01,-0.0002465767195753976,0,-0.0003787581147784777,1,0.00033199848257936537,0,0.9
2023-06-02,-0.0003813596888908588,0,-0.00047735773914676515,0,0.00033292087027803063,1,0.9
2023-06-05,-0.0003173546046253417,0,-0.0004646244372975357,0,0.00033373822225257754,1,0.9
2023-06-06,-0.00048406474944917566,0,-0.00046223142812956274,0,0.00033537589479237795,1,0.9
2023-06-07,0.0006098516031842749,1,-0.000562883794140963,0,0.00033678565523587167,0,0.88
2023-06-08,0.0006820104775993041,1,-0.00020059009837401266,1,0.00033923916635103524,1,0.88
2023-06-09,0.0002044403050449617,1,5.761377290201781e-06,1,0.00033922106376849115,1,0.88
2023-06-12,-0.00010104124330445607,0,-9.903443940676834e-05,1,0.000338052079314366,0,0.86
2023-06-13,0.0002782643585816924,1,-0.00013631353846841314,0,0.0003379292320460081,0,0.84
2023-06-14,6.974319441366283e-05,1,-1.4921935262395485e-05,1,0.00033904064912348986,1,0.84
2023-06-15,0.0003091199833435976,1,1.7768865179399704e-05,1,0.00033968064235523343,1,0.84
2023-06-16,-0.0008531637644413337,0,3.671269748065347e-05,1,0.00034153630258515477,0,0.82
